[09:32:38] === CP3A BATCH START === tasks=90 lanes=3 runs_each=3 total=810 already_done=0
[09:32:38] --- LANE LANE-GEMINI-001 (gemini-2.5-flash) ---
[09:37:29]   [41/810] RUN-A2-004-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:31]   [42/810] RUN-A2-004-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:33]   [43/810] RUN-A2-005-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:35]   [44/810] RUN-A2-005-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:37]   [45/810] RUN-A2-005-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:39]   [46/810] RUN-A2-006-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:37:41]   [47/810] RUN-A2-006-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:43]   [48/810] RUN-A2-006-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:45]   [49/810] RUN-A2-007-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s CAT_MISS=UNSCORED
[09:37:47]   [50/810] RUN-A2-007-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:37:49]   [51/810] RUN-A2-007-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:37:51]   [52/810] RUN-A2-008-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:37:53]   [53/810] RUN-A2-008-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s CAT_MISS=UNSCORED
[09:37:55]   [54/810] RUN-A2-008-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:37:56]   [55/810] RUN-A2-009-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:59]   [56/810] RUN-A2-009-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:01]   [57/810] RUN-A2-009-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:03]   [58/810] RUN-A2-010-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:05]   [59/810] RUN-A2-010-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:38:07]   [60/810] RUN-A2-010-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:38:08]   [61/810] RUN-A3-001-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:38:10]   [62/810] RUN-A3-001-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:12]   [63/810] RUN-A3-001-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:38:14]   [64/810] RUN-A3-002-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:16]   [65/810] RUN-A3-002-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:19]   [66/810] RUN-A3-002-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:20]   [67/810] RUN-A3-003-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:22]   [68/810] RUN-A3-003-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:38:24]   [69/810] RUN-A3-003-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:38:26]   [70/810] RUN-A3-004-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:38:28]   [71/810] RUN-A3-004-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:38:30]   [72/810] RUN-A3-004-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:32]   [73/810] RUN-A3-005-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:34]   [74/810] RUN-A3-005-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:36]   [75/810] RUN-A3-005-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:38]   [76/810] RUN-A3-006-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
